# old_node_id  xy_node_id  cell_id  hop_distance
2465469480 17995 65 1
494714601 11449 65 1
1988470929 17010 65 1
494714592 11446 65 1
2697814822 18403 66 1
7460214009 20994 66 1
1617147123 15302 67 1
218318761 4643 67 1
632660793 12204 67 1
218318694 4640 67 1
290519013 8274 68 1
1836072995 16395 68 1
1531756383 14964 68 1
181321070 2793 69 1
181321071 2794 69 1
180223553 2738 69 1
253869727 6841 70 1
11369089041 22072 70 1
446983469 10911 70 1
401436991 10448 71 1
1309181798 14051 71 1
42118512 694 71 1
475057077 11300 72 1
267313329 7544 72 1
241210213 5013 72 1
130033139 1559 73 1
130033093 1557 73 1
1671245054 15457 73 1
2331522413 17706 73 1
255426472 6900 74 1
3428139539 18969 74 1
3428139542 18970 74 1
255424959 6891 74 1
268399943 7591 75 1
132777276 1613 75 1
162614031 2306 75 1
243025744 5403 76 1
30624734 263 76 1
1868380597 16790 77 1
203316960 3473 77 1
1868380572 16784 77 1
257043165 6963 78 1
1836073317 16431 78 1
1836073323 16433 78 1
260956132 7383 78 1
24913016 86 79 1
24913019 88 79 1
24913021 90 79 1
139489286 1898 80 1
1903816043 16900 80 1
798517235 12900 81 1
2569514418 18211 81 1
1197362629 13884 81 1
105356388 1127 82 1
105358556 1132 82 1
1072393133 13750 82 1
622463745 12151 83 1
178762166 2704 83 1
178761793 2701 83 1
421982822 10613 84 1
1690571118 15568 84 1
3649448183 19154 85 1
81079985 927 85 1
199194101 3340 85 1
243558905 5607 86 1
242563018 5311 86 1
1843322133 16560 86 1
2976922249 18642 87 1
4815885762 19841 87 1
298676040 8548 87 1
10079519702 21697 88 1
251673276 6577 88 1
2217376178 17415 88 1
2786125680 18465 89 1
258986836 7195 89 1
1918601642 16936 89 1
1758864293 15756 89 1
221455386 4659 90 1
1862632119 16712 90 1
1839312786 16535 91 1
11776404843 22161 91 1
248376031 6247 91 1
247643779 6206 92 1
2514427339 18118 92 1
141604305 1963 93 1
141603796 1961 93 1
141603609 1960 93 1
141605427 1970 93 1
1269253722 13978 94 1
200681514 3369 94 1
244081688 5780 94 1
603163445 12044 95 1
253830042 6775 95 1
1476632916 14688 95 1
251689847 6615 96 1
3482617229 19015 96 1
251693109 6647 96 1
297324592 8461 97 1
2199915741 17362 97 1
2199915720 17359 97 1
262815091 7410 98 1
251878933 6696 98 1
251850940 6691 98 1
6451042345 20632 99 1
296936373 8449 99 1
2915134593 18616 99 1
228382134 4686 0 2
30793682 379 0 2
30793692 384 0 2
30693113 298 0 2
247292269 6130 1 2
212590660 4432 1 2
600065004 11999 1 2
428638013 10645 1 2
35346707 491 2 2
6864237344 20822 2 2
36709337 667 2 2
243458894 5580 3 2
703501087 12665 3 2
703501195 12673 3 2
430486833 10649 3 2
139284378 1845 4 2
139264323 1830 4 2
247178522 6108 5 2
247178513 6104 5 2
247179847 6120 5 2
241599914 5113 5 2
241599911 5112 5 2
2801907752 18479 5 2
247178573 6109 5 2
1618034609 15308 6 2
1618038701 15309 6 2
319463426 9534 6 2
319460828 9523 6 2
319462700 9531 6 2
319461795 9529 6 2
10957734596 21903 7 2
2535100999 18144 7 2
299458065 8584 7 2
5303873411 20044 7 2
302058786 8649 7 2
10959838406 21905 7 2
229193608 4699 8 2
3685244045 19213 8 2
231117682 4769 8 2
2434320011 17941 8 2
596378169 11961 9 2
597456222 11966 9 2
3699104098 19229 9 2
1652760415 15432 9 2
197445680 3083 9 2
1022475312 13630 9 2
1088004860 13763 10 2
34956076 427 10 2
195365224 2967 10 2
49745255 716 10 2
1177465156 13857 11 2
243190977 5423 11 2
305442352 8989 12 2
178683524 2610 12 2
178683526 2611 12 2
1016444126 13578 12 2
176829647 2559 12 2
1361480962 14336 13 2
1361480964 14337 13 2
243996090 5762 13 2
7157674182 20922 14 2
209187773 4394 14 2
209187603 4380 14 2
209187567 4376 14 2
262819260 7418 14 2
216374521 4525 15 2
216433599 4544 15 2
216422731 4539 15 2
216422195 4538 15 2
302520015 8731 16 2
302518217 8716 16 2
303381509 8853 16 2
303381708 8855 16 2
302903560 8791 16 2
303381455 8852 16 2
302520353 8734 16 2
243892189 5671 17 2
243892226 5676 17 2
1345346877 14187 17 2
243892194 5673 17 2
243892258 5685 17 2
243892263 5686 17 2
1044936591 13703 18 2
192759489 2862 18 2
192751970 2859 18 2
108275908 1179 19 2
877114268 13166 19 2
4307549380 19606 19 2
112354257 1241 19 2
112426021 1276 19 2
2273984163 17463 19 2
118075521 1408 20 2
118115915 1421 20 2
118114866 1417 20 2
244512647 5861 20 2
118075915 1409 20 2
119144439 1448 20 2
11009688193 21913 21 2
276079409 7811 21 2
11020925440 21919 21 2
2295225482 17584 21 2
276077162 7805 21 2
313672609 9214 21 2
292466083 8362 22 2
4327646388 19649 22 2
2470564681 18007 22 2
2889057671 18590 22 2
616200004 12101 22 2
1383713732 14495 22 2
314925040 9299 22 2
314943617 9300 23 2
294164350 8377 23 2
105355899 1125 23 2
206136948 3781 23 2
125629783 1486 23 2
1832557171 16081 24 2
1832557167 16078 24 2
1832557190 16085 24 2
